continent,country,year,pop,perc_urban_pop,gdp_per_capita
Africa,Algeria,1962,11800771,34.51176,3210.70758
Africa,Algeria,1967,12876118,39.10168,4257.66176
Africa,Algeria,1972,14427072,39.81607,5536.87644
Africa,Algeria,1977,17015994,40.77373,6553.95899
Africa,Algeria,1982,19872348,44.75414,8315.72291
Africa,Algeria,1987,23443624,49.73254,9299.41344
Africa,Algeria,1992,26628568,53.70523,9755.45558
Africa,Algeria,1997,29579301,57.54559,10043.73117
Africa,Algeria,2002,31750835,61.38127,11995.66873
Africa,Algeria,2007,34189416,65.16908,14137.48114
Africa,Algeria,2012,37646166,68.34213,14697.53961
Africa,Algeria,2017,41689299,71.32279,15427.66419
Africa,Angola,1962,5354310,11.20706,3591.11662
Africa,Angola,1967,5641807,13.07491,4899.61582
Africa,Angola,1972,6174262,15.76259,5200.84498
Africa,Angola,1977,7317829,20.49551,3779.39869
Africa,Angola,1982,8751648,26.76826,3796.44411
Africa,Angola,1987,10497858,33.72768,4325.11914
Africa,Angola,1992,12423712,40.52058,4750.38909
Africa,Angola,1997,14660413,46.72065,5012.3417
Africa,Angola,2002,17327699,52.89262,6149.13438
Africa,Angola,2007,20778561,57.75646,9191.41108
Africa,Angola,2012,25177394,61.51142,10051.33991
Africa,Angola,2017,30234839,65.08505,9042.11713
Africa,Benin,1962,2604659,10.80174,1654.45246
Africa,Benin,1967,2872997,14.74899,1781.26343
Africa,Benin,1972,3207543,19.806,1907.7465
Africa,Benin,1977,3623202,24.79093,1803.12229
Africa,Benin,1982,4156596,28.94341,2137.92676
Africa,Benin,1987,4818486,32.8863,2103.46995
Africa,Benin,1992,5617844,35.78976,2267.92908
Africa,Benin,1997,6583365,37.40338,2417.12064
Africa,Benin,2002,7675426,39.00351,2624.71693
Africa,Benin,2007,8953969,41.28578,2720.93466
Africa,Benin,2012,10397657,44.04751,2779.72648
Africa,Benin,2017,12039780,47.29428,3041.7793
Africa,Botswana,1962,540186,3.14033,795.08488
Africa,Botswana,1967,580933,5.64569,990.07246
Africa,Botswana,1972,622407,10.57126,1851.42893
Africa,Botswana,1977,799574,13.05016,2646.4929
Africa,Botswana,1982,1009269,17.23185,4276.49412
Africa,Botswana,1987,1199167,33.8658,6466.24977
Africa,Botswana,1992,1380033,46.79853,10027.58978
Africa,Botswana,1997,1571691,51.05241,11911.13165
Africa,Botswana,2002,1744763,55.0143,13235.91825
Africa,Botswana,2007,1911201,60.78223,15834.79471
Africa,Botswana,2012,2108617,64.39932,14957.61891
Africa,Botswana,2017,2266747,65.94564,17352.89584
Africa,Burkina Faso,1962,4919672,5.19886,1042.04929
Africa,Burkina Faso,1967,5326348,5.63021,1038.55184
Africa,Burkina Faso,1972,5807234,6.09733,1100.33007
Africa,Burkina Faso,1977,6428734,6.84646,959.13509
Africa,Burkina Faso,1982,7340197,9.71601,1063.66934
Africa,Burkina Faso,1987,8457109,12.26559,1209.78488
Africa,Burkina Faso,1992,9629275,13.84371,1271.21462
Africa,Burkina Faso,1997,10934223,15.81413,1388.41119
Africa,Burkina Faso,2002,12680897,19.72505,1514.50187
Africa,Burkina Faso,2007,14816307,22.97418,1732.62043
Africa,Burkina Faso,2012,17172287,24.80019,2003.66461
Africa,Burkina Faso,2017,19894407,25.97699,2232.28782
Africa,Burundi,1962,2907943,2.01386,742.49548
Africa,Burundi,1967,3300690,2.51479,854.93118
Africa,Burundi,1972,3617128,3.14419,916.71227
Africa,Burundi,1977,3983582,3.86999,1044.95147
Africa,Burundi,1982,4681390,4.69234,1098.61817
Africa,Burundi,1987,5247787,5.66101,1308.03219
Africa,Burundi,1992,5858407,6.64881,1435.73604
Africa,Burundi,1997,6070042,7.50555,1032.46566
Africa,Burundi,2002,6824132,8.45108,996.91237
Africa,Burundi,2007,8161874,9.77289,950.63619
Africa,Burundi,2012,10071028,12.22446,958.6574
Africa,Burundi,2017,11506762,16.62413,880.99344
Africa,Cameroon,1962,5338620,14.36917,1835.44762
Africa,Cameroon,1967,5977318,17.71607,1899.76133
Africa,Cameroon,1972,6806872,22.73025,2105.82963
Africa,Cameroon,1977,7796501,29.41991,2215.95673
Africa,Cameroon,1982,9028678,34.10471,3551.0292
Africa,Cameroon,1987,10370749,37.98174,4485.07744
Africa,Cameroon,1992,12006353,41.43951,3469.10769
Africa,Cameroon,1997,13775214,44.57162,3364.34086
Africa,Cameroon,2002,15725528,47.25892,3796.465
Africa,Cameroon,2007,18049896,49.7027,4242.1752
Africa,Cameroon,2012,20809529,51.58871,4382.11121
Africa,Cameroon,2017,24128601,53.31151,4797.97544
Africa,Cape Verde,1962,221919,7.22263,1185.6088
Africa,Cape Verde,1967,261404,15.16498,1261.77565
Africa,Cape Verde,1972,297386,20.47347,1397.17654
Africa,Cape Verde,1977,312834,22.02319,1089.32241
Africa,Cape Verde,1982,332724,26.08925,1409.44843
Africa,Cape Verde,1987,357302,38.17051,1809.0852
Africa,Cape Verde,1992,393415,46.56448,2150.38441
Africa,Cape Verde,1997,432798,51.3661,3374.78541
Africa,Cape Verde,2002,467046,55.57034,4778.18896
Africa,Cape Verde,2007,496190,59.28761,6796.34351
Africa,Cape Verde,2012,511955,63.72605,7397.82221
Africa,Cape Verde,2017,512893,69.2,8234.56
Africa,Central African Republic,1962,1768115,21.24115,1680.81358
